,ADAUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT,total,total_sum
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146,2.581000000000001
78,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.039,2.620000000000001
79,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.06,2.560000000000001
80,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.01,2.5700000000000007
81,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.045,2.6150000000000007
82,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,2.7210000000000005
83,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.04,2.7610000000000006
84,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.275,2.4860000000000007
85,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.034,2.5200000000000005
86,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.126,2.6460000000000004
87,-0.0,-0.0,0.0,-0.001,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.169,2.4770000000000003
88,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,2.596
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.133,2.729
90,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.001,2.73
91,0.0,0.002,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.437,3.167
92,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.11,3.057
93,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013,3.044
94,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.061,2.983
95,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.028,3.011
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,3.037
97,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.061,2.976
98,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.08,2.896
99,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0.0,0.277,3.173
100,-0.0,0.0,0.0,-0.0,0.001,0.0,0.0,-0.0,0.0,0.0,0.183,3.356
101,0.0,-0.002,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.414,2.9419999999999997
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241,3.183
103,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.054,3.2369999999999997
104,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.001,0.107,3.344
105,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.255,3.089
106,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.115,3.204
107,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.272,2.9320000000000004
108,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.258,3.1900000000000004
109,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.01,3.1800000000000006
110,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.086,3.2660000000000005
111,0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.32,2.9460000000000006
112,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.001,-0.0,-0.001,-0.001,-0.516,2.4300000000000006
113,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.205,2.2250000000000005
114,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.001,0.426,2.6510000000000007
115,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,0.0,-0.0,-0.001,-0.274,2.3770000000000007
116,-0.0,0.0,0.0,-0.001,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.137,2.2400000000000007
117,-0.0,-0.0,-0.0,-0.001,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.118,2.1220000000000008
118,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.167,1.9550000000000007
119,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.004,1.9510000000000007
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.083,2.0340000000000007
121,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.164,2.198000000000001
122,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.257,2.455000000000001
123,-0.0,-0.0,-0.0,-0.002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.416,2.039000000000001
124,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.017,2.056000000000001
125,0.0,-0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.198,2.254000000000001
