,ADAUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT
120-125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121-126,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122-127,0.0,0.0,0.404,0.417,0.0,0.0,0.0,0.0,0.0,0.18
123-128,0.0,0.245,0.334,0.0,0.205,0.0,0.0,0.0,0.0,0.216
124-129,0.0,0.066,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.626
125-130,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.009,0.064,0.682
126-131,0.0,0.0,0.263,0.0,0.0,0.0,0.0,0.059,0.197,0.482
127-132,0.0,0.0,0.149,0.0,0.457,0.0,0.0,0.0,0.0,0.395
128-133,0.146,0.0,0.562,0.0,0.0,0.0,0.0,0.0,0.0,0.292
129-134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130-135,0.221,0.0,0.0,0.0,0.779,0.0,0.0,0.0,0.0,0.0
131-136,0.228,0.0,0.0,0.0,0.772,0.0,0.0,0.0,0.0,0.0
132-137,0.068,0.03,0.0,0.0,0.877,0.0,0.0,0.0,0.025,0.0
133-138,0.406,0.0,0.0,0.0,0.366,0.055,0.0,0.0,0.173,0.0
134-139,0.547,0.0,0.0,0.396,0.0,0.0,0.0,0.034,0.022,0.0
135-140,0.747,0.0,0.116,0.138,0.0,0.0,0.0,0.0,0.0,0.0
136-141,0.544,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.314,0.0
137-142,0.723,0.186,0.0,0.0,0.0,0.0,0.0,0.092,0.0,0.0
138-143,0.396,0.186,0.185,0.0,0.0,0.0,0.089,0.0,0.144,0.0
139-144,0.118,0.0,0.2,0.0,0.0,0.0,0.378,0.0,0.303,0.0
140-145,0.0,0.01,0.261,0.543,0.019,0.049,0.012,0.001,0.1,0.005
141-146,0.0,0.0,0.185,0.377,0.0,0.119,0.0,0.0,0.319,0.0
142-147,0.015,0.001,0.139,0.089,0.101,0.266,0.092,0.0,0.165,0.131
143-148,0.0,0.0,0.766,0.187,0.0,0.037,0.0,0.01,0.0,0.0
144-149,0.0,0.351,0.293,0.021,0.0,0.0,0.038,0.216,0.08,0.0
145-150,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146-151,0.0,0.741,0.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147-152,0.0,0.53,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148-153,0.019,0.829,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149-154,0.0,0.329,0.671,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150-155,0.0,0.0,0.0,0.328,0.599,0.0,0.0,0.073,0.0,0.0
151-156,0.0,0.0,0.0,0.071,0.652,0.0,0.0,0.277,0.0,0.0
152-157,0.0,0.0,0.0,0.259,0.671,0.0,0.0,0.0,0.07,0.0
153-158,0.0,0.0,0.0,0.913,0.0,0.0,0.0,0.087,0.0,0.0
154-159,0.563,0.005,0.0,0.0,0.0,0.0,0.0,0.432,0.0,0.0
155-160,0.554,0.007,0.0,0.0,0.056,0.0,0.0,0.383,0.0,0.0
156-161,0.673,0.0,0.0,0.0,0.028,0.004,0.0,0.296,0.0,0.0
157-162,0.637,0.0,0.03,0.0,0.0,0.0,0.018,0.225,0.088,0.0
158-163,0.306,0.0,0.0,0.0,0.102,0.0,0.125,0.0,0.467,0.0
159-164,0.262,0.0,0.0,0.0,0.064,0.0,0.274,0.0,0.4,0.0
160-165,0.28,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.583
161-166,0.193,0.193,0.0,0.0,0.0,0.0,0.0,0.068,0.049,0.496
162-167,0.0,0.119,0.0,0.0,0.264,0.252,0.0,0.0,0.045,0.32
163-168,0.0,0.258,0.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0
